author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1229716040,0,1,7,17,0.844781,3310,0,0,1,0,0,8,0,16,0,0
1230585851,0,1,3,3,0,14,16,5.333333,1,10.067257,3,1,0.694259,2,0,0
1230586097,0,1,1,2,0.828056,23,0,0,1,0,0,3.5,0,1,0,0
1230586268,0,1,1,2,0.828056,23,0,0,1,0,0,5.5,0,1,0,0
1230587323,0,1,2,2,0,0,40,20,1,10.084294,2,7.5,1.074373,4,0,0
1230587371,0,1,1,1,0,1,0,0,1,0,0,9,0,2,0,0
1230588150,0,1,1,1,0,0,0,0,1,0,0,10,0,2,0,0
1230588831,0,1,1,1,0,0,0,0,1,0.007882,1,11,127.872247,3,0,0
1230659983,0,1,9,11,3.197623,536,6,0.545455,2,0.077742,1,5,1.972154,10,0,0
1230663758,0,1,4,6,2.212074,439,0,0,1,0,0,13.5,0,16,0,0
1230664619,0,1,2,5,2.084744,48,4,17,2,0.032194,3,19,10.318378,21,0,0
1230670187,0,1,4,83,0,0,0,0,1,0,0,63,0,104,0,0
1230672793,0,1,2,4,1.884314,13,0,20.5,2,0.094606,6,106.5,6.505261,108,0,0
1230675170,0,1,1,1,0,1,23,56,2,0.175775,1,109,6.689076,109,0,0
1231355455,0,1,11,25,3.121106,372,0,0,1,0,0,24,0,24,0,0
1231431457,0,1,18,120,2.093509,3519,0,0,1,0,0,169.5,0,119,0,0
1231431483,0,1,1,2,0,0,0,0,1,0.000301,2,230.5,2493.307692,121,0,0
1231434439,0,1,1,1,0,1,1,236,1,0.034514,1,0,0,0,0,0
1231447333,0,1,10,12,3.262708,374,8,27.5,1,0.073686,6,237.5,3.182093,133,0,0
1231449741,0,1,2,3,1.556657,2,5,47.666667,1,0.15037,4,245,4.705906,136,0,0
1231457596,0,1,10,47,3.346323,306,0,0,1,0,0,60,0,46,0,0
1231457834,0,1,6,6,1.815605,38,5,22,1,0.131908,7,249.5,3.358416,142,0,0
