author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1174301697,0,1,10,42,5.074919,2295,0,0,1,0,0,20.5,0,41,0,0
1174302033,0,4,20,84,6.074919,2295,2295,27.321429,1,0.001944,42,83.5,13.829922,83,0,0
1174306940,1,1,5,10,2.875453,147,46,58.4,1,0.056794,10,130.5,6.157181,42,1,1623.9687
1174310317,0,1,3,13,3.074528,295,114,53.153846,1,0.047541,16,142,3.405849,55,1,30.4161
1174310425,0,3,3,3,0.182606,170,2,143.333333,1,0.064753,2,150,9.5796,1,0,0
1174311498,0,1,2,5,1.786391,103,13,68.4,1,0.010935,12,154,46.11431,60,0,0
1174314551,0,2,2,2,0.863121,12,2,243.5,1,0.041545,6,157.5,21.167568,2,0,0
1174316653,0,1,1,1,0,24,19,183,1,0.024329,5,159,42.103711,62,1,43.9927
1174318528,0,2,5,6,2.148828,105,51,66,1,0.13365,8,162.5,4.191772,9,0,0
1174320828,0,1,6,9,1.822586,477,24,34.555556,2,0.050904,10,4,3.733828,8,1,84.9022
1174321821,0,1,3,3,1.278291,58,0,132,1,0.104147,11,167,5.889808,70,0,0
1174328769,0,1,5,11,3.099674,209,144,36.545455,2,0.071284,14,14,7.220548,19,0,0
1174332076,0,1,1,1,0,1,1,25,2,0.038275,1,0,0,0,0,0
1174332356,0,1,5,7,2.354671,108,34,61.714286,2,0.094036,18,23,6.829023,26,0,0
1174332386,0,1,1,1,0,26,0,0,1,0,0,27,0,27,0,0
1174333201,0,2,2,2,0.116115,64,0,157,2,0.107928,3,0.5,2.816354,0,0,0
1174333624,0,1,1,1,0,1,1,88,2,0.014676,4,169,69.138801,71,0,0
1174333860,0,1,3,7,2.334085,302,13,27.142857,1,0.064099,4,173,3.645298,16,1,1.9224
1174342966,0,2,4,18,3.355641,174,66,57.277778,2,0.31635,26,36.5,2.120114,6,0,0
1174346015,0,1,3,4,1.790545,172,4,98.5,2,0.119907,13,47.5,3.056802,42,1,30.7514
1174346346,0,1,1,1,0,8,2,259,2,0.003831,9,50,262.02719,43,0,0
1174350148,0,3,8,9,2.343937,337,18,97.444444,3,0.116268,26,55,2.293487,2,0,0
1174353357,0,2,6,13,3.265981,343,94,66.769231,3,0.129999,35,183,4.80306,21,1,0.0329
1174356005,0,2,4,5,1.943874,85,11,89.2,3,0.024519,17,192,16.770393,25,1,0.0022
1174356198,1,1,1,1,0,7,3,72,3,0.002234,3,195,448.668394,26,0,0
1174356765,0,1,2,2,0.998636,15,8,117,3,0.007679,8,196.5,90.39674,28,0,0
1174363299,0,1,4,10,2.915391,346,25,79.9,3,0.209098,33,202.5,1.518096,90,1,43.4528
1174369464,0,2,6,11,2.702796,199,108,84.272727,3,0.192548,45,65,2.544727,8,1,43.3814
1174369489,0,1,1,1,0,13,0,68,2,0.306979,2,1,4.25755,1,0,0
1174377184,0,2,6,10,2.535717,23,44,78.9,3,0.327024,39,75.5,3.062117,10,0,0
1174379304,0,1,3,3,1.405639,13,3,111.333333,3,0.365864,14,82,2.06002,68,0,0
1174381907,0,1,3,11,3.027023,497,1,8.363636,3,0.013092,4,89,7.943663,79,1,1.3663
1174385510,0,1,2,2,1,24,0,72,2,0.338918,5,2.5,4.434103,3,0,0
1174394374,0,2,10,29,4.360258,627,383,64.344828,3,0.17587,66,222,2.065796,31,1,0.0009
1174394449,1,1,1,1,0,5,5,376,3,0.000868,13,237,1153,117,0,0
1174400518,0,2,11,48,4.53567,672,618,71.770833,3,0.265528,160,261.5,1.30313,37,1,30.1205
1174403822,0,1,1,1,0,76,0,0,1,0,0,286,0,160,0,0
1174407231,0,2,9,19,3.706219,437,224,70.263158,3,0.089949,62,296,3.528105,43,1,42.9443
1174407271,0,1,1,2,0.986126,111,84,42,3,0.039311,10,306.5,1087.359488,175,0,0
1174413701,0,1,2,7,2.24264,218,216,52.142857,3,0.272063,16,98,3.649492,86,1,369.8797
1174414125,0,2,7,16,3.346265,250,7,85.9375,3,0.062606,50,330.5,4.00144,46,1,30.1194
1174416454,0,1,5,9,2.777455,292,28,98.111111,3,0.03765,31,343,4.959613,212,1,369.8478
1174416539,0,1,1,1,0,2,2,412,3,0.000984,18,348,1017.470588,213,0,0
1174417281,0,1,2,6,2.333206,9,11,88.833333,3,0.061233,29,104.5,10.106574,92,0,0
1174419107,0,2,7,7,1.537569,298,162,88.428571,3,0.09705,33,111,12.74566,11,1,0.9357
1174420358,0,2,8,10,2.384197,75,10,101.5,3,0.141073,44,353.5,3.183759,47,0,0
1174423337,0,1,1,1,0,88,29,97,3,0.847095,1,115,2.180505,3,0,0
1174423429,0,1,1,1,0,118,118,156,3,0.001065,2,116,940.130435,4,0,0
1174425223,0,1,1,1,0,75,84,156,3,0.020764,3,117,49.160535,5,0,0
1174470971,0,1,1,3,1.489459,450,0,0,1,0,0,360,0,225,1,145.1829
1174480412,0,1,6,19,3.776487,700,67,98.684211,3,0.456004,74,371,1.294103,244,1,29.3522
1174487831,0,3,10,22,3.120815,1037,488,72,3,0.305907,54,391.5,2.126309,48,1,29.11
1174490772,0,1,1,3,1.548581,8,5,54.666667,3,1.051659,12,404,4.229042,267,1,368.9876
1174491058,0,1,7,12,3.023518,409,18,12.25,3,0.063498,4,123.5,0.192698,17,0,0
1174491579,0,1,6,6,1.762901,35,5,20.833333,3,1.592103,6,408.5,1.195801,273,0,0
1174494580,0,1,4,10,2.558583,189,61,158.5,3,0.095287,32,416.5,4.130783,283,1,473.3974
1174495104,0,1,1,1,0,20,9,136,3,0.006065,15,422,165.885496,284,0,0
1174499138,0,1,2,4,1.760188,78,14,187,3,0.051238,30,424.5,10.970754,288,0,0
1174499627,0,2,14,61,5.648983,1807,1813,29.721311,3,0.600403,114,457,0.927403,79,1,36.7735
1174499952,1,2,2,2,0.991076,6,3,80.5,3,0.003762,2,488.5,200.384615,80,0,0
1174504741,0,1,1,1,0,1,1,71,3,0.05919,1,4,17.894799,4,0,0
1174507460,0,1,1,1,0,1,0,0,1,0,0,506,0,6,0,0
1174508395,0,3,5,6,2.265653,110,77,137.833333,3,0.011979,14,509.5,35.086957,4,0,0
1174515072,0,2,6,14,3.355158,480,67,56.714286,3,0.411357,33,136.5,1.314648,26,1,0.9223
1174517612,0,1,9,16,3.44086,1003,0,0,1,0,0,151.5,0,15,0,0
1174517653,0,2,10,17,3.452467,1,1011,78.823529,3,0.151061,35,168,5.095331,1,0,0
1174524567,0,1,6,7,2.659539,438,242,48.142857,1,0.034499,3,180,7.66006,22,0,0
1174546990,0,2,6,18,3.228722,399,217,108.833333,3,0.424769,34,192.5,1.306571,33,1,41.3267
1174552868,0,2,6,14,3.035728,173,96,121.5,3,0.157896,31,208.5,1.831627,42,1,1.1081
1174554223,0,1,5,11,3.046537,770,2,22.363636,3,0.085274,9,518,1.887759,337,1,41.243
1174557586,0,3,15,53,4.441028,342,401,86.698113,3,0.897386,139,561,1.081305,11,1,141.2885
1174557990,0,1,4,4,1.418296,12,12,126.75,3,0.004676,29,589.5,112.386139,401,0,0
1174558615,0,1,1,5,2.05263,153,217,73.8,3,0.548567,6,594,1.896063,91,1,36.0907
1174559523,0,3,10,11,2.413922,40,40,104.636364,3,0.179447,58,602,10.459765,13,0,0
