author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1415290588,0,1,2,2,0.995727,26,0,421,1,-1.445984,2,16.5,0.481322,17,0,0
1415292027,0,1,1,2,0.550984,25,22,2619.5,1,-1.429329,2,0.5,0.325093,1,0,0
1415292180,0,1,1,4,1.385456,44,14,1893.25,3,-4.156846,9,8.5,0.894503,10,0,0
1415292202,0,1,1,1,0,8,0,157,3,0.000255,2,11,3928.272727,11,0,0
1415292225,0,1,1,2,0.60984,22,18,105,3,-0.713385,4,12.5,0.299182,13,0,0
1415292253,0,1,1,1,0,2,25,163,3,0.000324,4,14,3086.714286,14,0,0
1415415521,0,3,82,600,7.661783,154435,0,0,1,0,0,299.5,0,591,0,0
1415655890,1,1,2,8,0.847516,10,173,1122.375,1,2.782049,8,3.5,0.952185,7,0,0
1415660185,1,1,2,2,0.591673,7,0,583,1,2.831759,2,0.5,0.588284,1,0,0
1415666077,0,1,1,1,0,1,1,86,1,2.899954,1,0,0,0,0,0
1415669534,0,1,1,1,0,20,1,3,1,2.939965,1,0,0,0,0,0
1415670327,0,1,2,29,2.956195,10566,9967,354.896552,3,0.101064,3,14,-25.252021,28,1,2.304225
1415671908,0,1,16,21,3.565539,3639,327,42.761905,2,1.554374,11,10,1.021435,20,1,1.154653
1415727685,0,1,1,1,0,0,1,13,1,3.613009,1,1,1.276778,0,0,0
1415729935,0,1,6,12,3.545915,35,13,1109.833333,3,3.63151,15,5.5,0.962478,11,0,0
1415731559,0,1,1,1,0,4,10,158,1,3.657847,1,2,1.273385,2,0,0
1415731805,1,1,1,1,0,9,8,140,3,5.087407,5,15,1.196564,15,0,0
1415732161,1,1,1,3,0.68381,59,3,318.333333,1,3.664815,3,4,1.166751,5,0,0
1415732545,0,1,1,1,0,1,1,420,1,0.004444,2,6,226,6,0,0
1415734147,0,1,2,3,1.325877,3,251,128,1,2.468519,4,1,0.801338,2,0,0
1415734302,0,1,2,8,3,40,0,1369.375,3,1.950522,21,15.5,5.593875,19,0,0
1415738540,0,1,1,7,2.807355,7,7,1514.857143,3,0.049051,26,23,8.551502,26,0,0
1415742535,0,1,12,73,6.033599,229,47,99.726027,3,3.646778,76,65,0.977601,101,1,5.673299
1415743873,0,1,3,10,2.901364,24,24,109.9,3,0.015486,20,106.5,19.913517,111,0,0
1415747564,0,1,1,1,0,3,3,136,3,0.04272,3,112,24.40829,112,0,0
1415753799,0,2,2,2,0.980597,24,31,39.5,1,2.445272,3,1.5,1.614906,1,0,0
1415760679,0,1,1,2,1,4,2,1345,1,3.994884,2,8.5,1.18774,9,0,0
1415761459,0,1,1,2,1,2,4,1346,1,0.009028,4,10.5,84.076923,11,0,0
1415763984,0,1,2,6,2.299896,11,11,124.166667,3,0.232766,18,115.5,2.754264,118,0,0
1415764505,0,1,1,2,1,0,2,34,1,4.039167,2,21.5,1.185682,22,0,0
1415765871,0,1,1,1,0,2,1,20,1,4.054977,1,600,1.246611,7,0,0
1415766052,1,1,3,3,1.395199,6,30,197.333333,1,4.057072,3,24,1.150629,25,0,0
1415766148,0,1,1,1,0,0,0,0,1,0,0,601,0,8,0,0
1415771670,1,1,12,12,3.555913,30,30,138.25,3,2.24178,21,7.5,1.259698,12,1,31.321377
1415774924,0,1,1,1,0,15,7,22,1,4.159757,1,14,1.240399,1,1,93.406157
1415809765,1,1,1,2,0.970951,3,2,1154.5,1,2.561053,4,0.5,0.597616,1,0,0
1415813546,1,1,1,1,0,4,1,86,1,1.706817,2,0,0,0,0,0
1415816256,0,1,1,3,1.049399,27,27,713.333333,3,1.688993,3,1,0.83113,2,0,0
1415817816,0,1,2,13,2.660489,219,45,404.076923,4,3.763112,14,6,0.966849,12,0,0
1415823296,0,1,1,7,2.402312,94,34,1612.285714,1,2.446478,14,3,0.925871,6,0,0
