author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1302724246,0,4,13,58,5.310767,7849,0,0,1,0,0,28.5,0,3,0,0
1302724463,1,1,1,1,0,6,8,39,1,0.002512,1,58,399.156682,4,0,0
1302774320,0,2,18,42,4.538676,1710,0,9.761905,2,0.013799,1,20.5,0.064892,40,0,0
1302776034,0,1,1,1,0,1,0,451,2,0.019838,2,42,51.408401,1,0,0
1302776400,0,2,2,2,0.503258,9,0,318.5,2,0.014155,4,43.5,39.430719,2,0,0
1302777029,1,1,1,1,0,10,11,37,1,0.608403,2,45,2.643648,3,0,0
1302777405,0,6,12,30,4.235122,1764,6,25.2,2,0.062059,10,73.5,2.408336,6,1,11.8813
1302777583,0,1,1,1,0,2,4,28,2,0.037766,1,46,27.478701,42,0,0
1302781364,0,2,2,2,0.929095,79,40,41.5,2,0.022911,4,89.5,11.411846,7,0,0
1302787451,0,2,3,3,0.970623,53,2,217.666667,2,0.081393,7,48,7.577321,4,0,0
1302788420,0,1,5,18,3.763232,521,64,22.5,2,0.063744,9,99.5,3.529711,39,1,11.7538
1302790944,0,3,3,3,0.636924,47,36,256.333333,2,0.346516,3,110,2.111386,1,0,0
1302792879,1,1,1,1,0,2,2,18,2,0.214803,1,112,5.655423,2,0,0
1302797071,0,1,2,3,1.409516,326,0,0,1,0,0,51,0,2,1,229.1531
1302797110,0,3,8,16,3.563467,808,39,41.3125,2,0.013974,9,60.5,0.963596,5,0,0
1302809223,0,9,16,21,3.054016,314,180,99.714286,2,0.199346,32,123,1.700386,8,1,819.0488
1302813492,0,1,1,1,0,3,0,189,2,0.189606,1,0,0,0,0,0
1302814354,0,1,3,8,2.466945,16,11,45.125,2,0.199583,8,4.5,2.702207,8,0,0
1302850792,0,1,1,2,0.890492,21,5,53.5,2,0.681487,4,134.5,2.088673,5,0,0
1302855282,0,1,1,1,0,76,7,34,2,0.051968,3,69,20.242762,46,0,0
1302855952,0,5,6,7,1.931245,73,8,157.142857,2,0.387426,25,139,1.778398,9,0,0
1302858547,0,1,2,2,0.721928,3,2,67,2,0.502442,6,70.5,18.144969,48,0,0
1302858788,0,1,1,1,0,8,0,42,2,0.977639,1,72,2.022873,49,0,0
1302859285,1,1,2,2,0.117595,56,70,159.5,2,0.022164,8,73.5,25.240669,51,0,0
1302863021,0,1,1,1,0,35,10,107,2,0.051782,6,75,20.311578,52,0,0
1302863407,1,1,1,1,0,46,0,189,2,1.0311,1,76,1.969838,53,0,0
1302863908,1,1,1,1,0,13,0,255,2,0.053507,7,77,19.689163,54,0,0
1302863993,1,1,1,1,0,1,1,26,2,1.000116,2,78,1.999884,55,0,0
1302871475,0,1,2,3,1.435521,4,5,58,2,0.796682,5,80,1.699287,58,0,0
1302877015,0,1,2,3,0,1,1,18.333333,3,0.7924,2,1,1.08733,2,0,0
1302877959,0,1,1,1,0,1,4,28,2,0.224676,2,82,5.450855,59,0,0
1302878413,0,2,2,2,0.413817,75,9,241,3,0.129983,9,3.5,4.846668,0,0,0
1302879600,0,1,3,5,1.583492,389,0,0,1,0,0,7,0,4,0,0
1302894310,0,3,8,8,2.70553,752,5,67.625,3,0.022999,10,13.5,0.804373,1,0,0
