author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1063070644,0,6,37,639,8.421991,179873,0,0,1,0,0,319,0,94,0,0
1063070644,0,6,37,639,8.421991,179873,0,281.491393,1,0,639,319,0,94,0,0
1063071102,0,1,1,15,0,0,0,0,1,0,15,646,0,14,0,0
1063071102,0,1,1,15,0,0,0,0,1,0,0,646,0,14,0,0
1063155353,0,1,1,1,0,7,1,1698,1,0.980428,2,654,2.019962,179,0,0
1063155353,0,1,1,1,0,7,1,1704,1,0,3,654,0,179,0,0
1063302777,0,1,1,1,0,44,46,188,1,2.686725,2,655,1.3722,327,0,0
1063302777,0,1,1,1,0,44,46,186,1,0,3,655,0,327,0,0
1063302914,0,1,1,1,0,6,1,3299,1,0,3,656,0,180,0,0
1063302914,0,1,1,1,0,6,1,3294,1,2.68831,2,656,1.371981,180,0,0
1063303507,0,1,1,1,0,2,2,2646,1,2.695174,2,657,1.371034,328,0,0
1063303507,0,1,1,1,0,2,2,2646,1,0,3,657,0,328,0,0
1063876335,0,1,1,1,0,190,1,962,1,9.325127,2,0,0,0,0,0
1063876335,0,1,1,1,0,190,1,1151,1,0,3,1,0,1,0,0
1063878776,0,1,1,1,0,603,0,603,1,0,1,3,0,3,0,0
1063878776,0,1,1,1,0,603,0,0,1,0,0,2,0,2,0,0
1063988232,0,1,1,1,0,4,2,1206,1,1.266852,2,658,1.789358,95,0,0
1063988232,0,1,1,1,0,4,2,1208,1,0,3,658,0,95,0,0
1063995637,0,1,1,1,0,60,1,1399,1,0,5,659,0,96,0,0
1063995637,0,1,1,1,0,60,1,1340,1,1.38081,4,659,1.724213,96,0,0
1063995653,0,1,1,1,0,32,5,1142,1,10.706123,2,660,1.093404,329,0,0
1063995653,0,1,1,1,0,32,5,1169,1,0,3,660,0,329,0,0
1064019941,0,1,1,1,0,3,3,1458,1,0.281296,6,661,4.55497,97,0,0
1064019941,0,1,1,1,0,3,3,1458,1,0,7,661,0,97,0,0
1064020575,0,1,1,1,0,42,2,1458,1,0.007338,8,662,137.277603,98,0,0
1064020575,0,1,1,1,0,42,2,1498,1,0,9,662,0,98,0,0
1064021565,0,1,2,2,0.571355,71,40,950.5,1,0,8,663.5,0,331,0,0
1064021565,0,1,2,2,0.571355,71,40,935,1,5.652969,6,663.5,1.089654,331,0,0
1064180205,0,1,1,1,0,126,86,1210,1,2.22191,4,4,1.450063,4,0,0
1064180205,0,1,1,1,0,126,86,1250,1,0,5,5,0,5,0,0
1064269530,0,1,1,1,0,26,25,1233,1,0,7,665,0,332,0,0
1064269530,0,1,1,1,0,26,25,1232,1,2.869965,6,665,1.348436,332,0,0
1064276548,0,1,1,1,0,33,15,1234,1,0.081227,8,666,13.3112,333,0,0
1064276548,0,1,1,1,0,33,15,1252,1,0,9,666,0,333,0,0
1064276619,0,2,2,2,0.995727,8,5,1826.5,1,0,8,667.5,0,99,1,2099.5908
