author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1275026726,0,7,254,1877,9.559288,430845,0,0,1,0,0,938,0,1759,0,0
1275253924,0,1,1,1,0,11,0,0,1,0,0,1877,0,4,0,0
1275258094,0,2,8,30,4.014124,1018,864,205.533333,1,2.67787,30,1892.5,1.049728,5,1,1.9344
1275357380,0,1,4,6,1.375412,362,515,382.833333,1,1.149144,12,2.5,1.043635,5,1,10.6589
1275405691,0,1,1,1,0,1,1,407,1,0.559155,3,6,2.788413,6,0,0
1275425230,1,1,1,2,0.918296,16,8,344,1,3.27338,3,7.5,1.184779,8,0,0
1275425286,0,1,1,1,0,27,6,158,1,4.612963,1,9,1.21678,0,0,0
1276191547,1,1,1,1,0,13,0,96,1,13.481725,1,0,0,0,1,878.1622
1276206224,0,2,2,2,0.70808,76,12,35,2,6.825799,1,0.5,0.536626,0,0,0
1276216901,0,1,1,1,0,24,3,117,2,0.123576,2,2,9.092161,1,0,0
1276222371,0,1,1,1,0,4,1,138,2,0.06331,3,3,16.795247,2,0,0
1276222463,0,1,1,1,0,3,0,141,2,0.001065,4,4,940.130435,3,0,0
1276247046,0,2,3,3,1.036096,223,6,76.333333,2,8.523426,3,2,1.060237,2,1,0.3814
1276247293,0,1,1,1,0,2,0,109,1,0.645208,2,4,2.549887,3,0,0
1276278312,1,1,1,1,0,4,4,566,1,10.658935,3,10,1.093818,9,1,12.3936
1276278331,1,1,1,1,0,2,6,566,1,0.00022,4,11,4548.368421,10,1,12.3933
1276278401,0,1,1,1,0,3,0,407,1,10.10081,4,12,1.099002,11,1,53.1563
1276278496,1,1,1,1,0,18,18,222,1,14.488079,1,13,1.069022,12,0,0
1276279672,1,1,1,1,0,13,2,222,1,0.013611,2,14,74.469388,13,1,12.5116
1276279785,0,1,1,2,0.888213,150,128,321.5,1,12.589491,4,15.5,1.054333,15,1,12.3765
1276280003,1,1,1,1,0,11,6,232,2,0.381447,2,17,3.621598,16,1,49.0362
1276387595,0,1,1,1,0,1,1,17,2,2.099201,1,1908,1.476372,6,0,0
1276392267,0,1,1,2,0.56651,30,0,233,1,13.127002,4,1909.5,1.057134,94,0,0
1276623754,0,1,1,1,0,114,55,315,1,2.679248,3,1911,1.373239,95,1,34.2676
1276999528,0,2,2,2,0.712214,333,0,0,1,0,0,5.5,0,0,1,200.2101
1277071705,0,1,1,1,0,14,14,144,2,9.82919,5,1912,1.101738,21,0,0
1277071757,0,1,1,1,0,1,1,34,2,0,3,1913,0,7,0,0
1277071757,0,1,1,2,0.56651,30,0,277.5,1,6.524844,7,1914.5,1.134743,97,0,0
1277071757,0,1,1,1,0,24,3,190,2,0,7,9,0,5,0,0
1277071757,0,2,2,2,0.712637,75,12,80.5,2,3.959572,8,7.5,1.126281,4,0,0
1277071757,0,1,1,1,0,3,0,214,2,0,9,11,0,7,0,0
1277071757,0,1,1,1,0,4,1,211,2,0,8,10,0,6,0,0
1277071798,0,1,1,1,0,11,11,217,2,0.000475,10,1916,2108.317073,22,0,0
1277079536,0,2,2,3,0.915913,88,229,111,1,0.617346,2,13,1.719928,2,0,0
1277138679,0,3,3,3,0.742668,170,22,69.333333,2,8.376142,3,16,1.040539,3,0,0
1277267797,0,1,1,1,0,24,0,562,1,11.452153,5,0,0,0,1,0.9412
1277268178,0,1,1,1,0,0,10,586,1,0.00441,6,1,227.771654,1,0,0
1277320716,0,2,2,2,0.433548,561,0,0,1,0,0,2.5,0,2,1,53.7068
1277340362,1,1,1,1,0,7,4,251,1,24.100324,2,1917,1.041493,98,1,0.1013
1277349109,0,1,1,1,0,6,0,0,1,0,0,1918,0,0,0,0
1277349113,0,1,1,5,0.742151,666,0,0,1,0,0,1921,0,4,1,0.0001
1277349113,0,4,8,13,3.025332,487,6,131.923077,2,14.511208,16,11,1.011316,12,1,1.586
1277349114,1,1,1,1,0,4,7,254,1,0.101296,3,1924,10.872029,99,1,4.8091
1277349114,0,1,1,2,0.696212,31,1,529.5,2,12.10081,8,24.5,1.04132,23,0,0
1277349114,0,1,1,2,0.726528,172,1,346.5,2,0.000006,4,18.5,43200.5,14,1,0.1281
1277349114,0,2,3,4,0.762141,191,0,274,2,15.289664,12,21.5,0.769583,21,1,0
1277349114,0,1,1,1,0,15,1,576,1,0.936759,7,19,2.06751,18,1,0
1277349114,0,1,5,6,2.213905,108,93,348,1,9.938432,27,6.5,1.022623,8,1,0
1277349114,0,1,1,1,0,25,2,420,2,0.000012,6,18,86401,17,1,22.5752
1277349114,1,1,1,1,0,8,9,617,1,0,9,21,0,16,1,0
1277349114,0,1,1,1,0,16,0,0,1,0,0,1925,0,8,0,0
1277349114,1,1,3,3,1.006463,59,37,317.666667,1,8.95983,15,1,0.691469,2,1,4.8091
1277349114,0,1,1,1,0,27,0,590,1,0,8,20,0,15,0,0
1277349114,0,1,1,1,0,0,0,0,1,0,0,3,0,0,0,0
1277349115,0,1,1,1,0,7,2,530,1,0.000012,5,17,86401,15,1,0
1277349115,1,1,1,1,0,1,1,400,1,3.210162,5,31,1.311511,27,0,0
1277349115,0,1,2,6,2.552724,10,10,157.666667,2,16.389213,14,13.5,1.016796,14,1,0
1277349115,0,1,1,1,0,0,0,0,1,0.000012,1,10,86401,1,0,0
1277349115,1,1,1,1,0,3,3,627,1,0.000012,12,32,86401,27,1,0
1277349115,0,1,1,1,0,3,0,443,2,0.000012,7,18,86401,16,0,0
1277349115,1,1,2,2,1,3,1,445,1,0.000006,19,19.5,43200.5,18,1,0
1277349115,0,1,1,1,0,1,1,400,1,0,6,32,0,28,0,0
1277349115,0,1,1,1,0,5,5,97,2,2.435602,2,30,1.410576,2,0,0
1277349115,0,2,3,4,1.731745,41,47,302.5,2,0.00002,12,27.5,25406.71429,26,1,1.0329
1277349115,1,1,4,10,1.455873,153,104,220.2,2,7.796067,29,26.5,1.030597,26,1,0
1277349116,1,1,2,2,0.650022,7,5,588,3,0.000006,25,35.5,86401,32,1,53.2358
1277349116,0,1,3,3,1.402081,13,4,148.666667,3,0.000004,15,29,86401,27,1,42.3468
1277349116,0,1,2,2,0.818403,48,7,41.5,3,0,1,26.5,0,24,0,0
1277349116,1,1,1,1,0,2,6,632,3,0,21,41,0,37,0,0
1277349116,0,1,1,1,0,7,8,266,3,0,8,25,0,22,1,42.3468
1277349116,0,1,1,1,0,1,1,627,3,0,15,33,0,29,1,62.7103
1277349116,0,1,1,1,0,3,3,631,3,0,19,37,0,33,1,411.8638
1277349116,0,2,4,4,0.338021,86,1,248,3,0.000012,25,22.5,59401,2,1,124.5253
1277349116,0,1,3,3,1.192368,26,30,334.333333,3,0,35,39,0,36,1,0
1277349116,1,1,1,1,0,4,2,627,3,0,16,33,0,28,0,0
1277349116,0,1,1,1,0,1,1,629,3,0,17,34,0,30,0,0
1277349117,1,1,1,1,0,2,2,141,1,12.376528,2,48,1.080798,43,0,0
1277349117,1,1,1,1,0,2,1,627,3,0,23,43,0,39,0,0
1277349117,1,1,1,1,0,11,12,628,3,0.000012,22,42,86401,38,1,62.7103
1277349117,1,1,1,1,0,4,5,632,3,0,28,57,0,51,1,41.6919
1277349117,0,1,1,1,0,9,20,215,2,0,5,47,0,42,0,0
1277349117,0,1,1,1,0,9,0,138,2,0,3,56,0,1,0,0
1277349117,0,1,2,2,0.811278,3,5,450,3,0,38,52.5,0,48,1,4.8091
1277349117,1,1,2,2,1,12,12,448,3,0.000006,35,49.5,43200.5,45,1,75.3848
1277349117,0,1,1,1,0,5,1,628,3,0,25,51,0,46,1,62.7103
1277349117,1,1,2,2,1,8,6,301,2,0.000023,9,45.5,32401,41,0,0
1277349117,1,1,2,2,0.811278,4,4,449,3,0,40,54.5,0,50,1,1511.1182
1277349117,0,1,1,1,0,9,0,129,2,0.000046,2,44,21601,0,0,0
1277349118,0,1,1,1,0,1,1,446,2,0.000035,8,70,28801,61,1,40.7638
1277349118,0,1,1,1,0,5,1,631,3,0.000012,29,58,86401,52,1,40.7638
1277349118,0,1,2,2,0.918296,2,1,364.5,3,0,33,60.5,0,55,1,53.2358
1277349118,0,1,1,1,0,6,0,227,2,0,6,65,0,5,0,0
1277349118,0,1,1,1,0,9,2,220,2,0.000035,4,62,28801,3,0,0
1277349118,0,1,1,1,0,43,35,635,3,0,31,64,0,56,1,0
1277349118,0,1,1,1,0,10,14,643,3,0,32,67,0,58,1,0
1277349118,0,1,1,1,0,1,1,227,2,0,5,63,0,4,0,0
1277349118,1,1,1,1,0,1,1,639,3,0,33,68,0,59,1,1.0368
1277349118,1,1,1,1,0,1,1,639,3,0,34,69,0,60,1,62.7103
1277349118,0,1,1,1,0,1,0,93,2,0.000035,2,59,28801,53,0,0
1277349118,0,1,1,1,0,1,0,58,2,0.000058,1,66,17281,57,0,0
1277349119,0,1,1,1,0,1,1,514,1,0,2,74,0,2,0,0
1277349119,1,1,1,1,0,11,3,498,1,0,5,78,0,6,1,0
1277349119,0,1,1,1,0,1,1,639,3,0,36,79,0,63,1,62.7103
1277349119,1,1,1,1,0,1,1,639,3,0.000012,35,71,86401,62,0,0
1277349119,1,2,3,3,0.900338,24,23,165.333333,3,0.000042,11,83,13419.18182,1,1,46.4411
1277349119,1,1,1,2,0.23349,38,67,330,1,0.000069,2,72.5,10801,1,1,0
1277349119,0,1,1,2,0.329846,9,24,315.5,1,0,5,75.5,0,4,0,0
1277349119,0,1,1,1,0,34,1,233,2,0.000012,7,34,86401,1,0,0
1277349119,1,1,1,1,0,2,1,547,3,0.000035,8,81,28801,64,0,0
1277349119,0,1,1,1,0,9,10,499,1,0,4,77,0,5,1,0
1277349119,1,1,1,1,0,8,4,506,1,0,6,80,0,7,0,0
1277349120,0,1,1,1,0,3,3,58,1,0,3,88,0,68,0,0
1277349120,0,1,1,1,0,4,3,217,2,3.209745,11,35,1.311551,0,0,0
1277349120,0,1,1,1,0,9,3,175,2,0,7,4,0,4,0,0
1277349120,0,1,1,1,0,3,2,548,3,0.000012,9,36,86401,29,0,0
1277349120,0,1,1,1,0,2,0,266,2,0.000012,8,85,86401,6,0,0
1277349120,1,1,1,1,0,1,1,268,2,0,9,87,0,7,0,0
1277349120,0,1,1,2,0.684038,10,1,99.5,2,13.43978,6,1.5,0.518601,2,0,0
1277349120,0,1,1,1,0,3,3,58,1,24.20169,2,86,1.041319,67,0,0
