author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1143467626,0,2,79,976,8.937692,264772,0,0,1,0,0,487.5,0,974,0,0
1143489078,0,1,1,1,0,2,1,190,1,0.248287,1,976,5.027596,975,0,0
1143528058,0,1,2,18,3.81662,9872,0,0,1,0,0,8.5,0,17,0,0
1143528343,0,1,1,2,0.950956,27,0,0,1,0,0,18.5,0,1,0,0
1143528575,0,1,1,1,0,1025,0,0,1,0,0,20,0,18,0,0
1143562674,0,1,1,1,0,137,1,29,1,1.100093,1,977,1.909014,1,0,0
1143564801,1,1,1,1,0,21,2,165,1,0.024618,2,21,41.620592,2,0,0
1143564900,1,3,4,6,0.313323,1140,0,0,1,0,0,24.5,0,1,0,0
1143640684,0,2,2,6,1.868394,657,24,30.666667,1,0.146379,3,980.5,0.712865,6,0,0
1143640801,0,1,1,2,0.789271,0,93,48.5,1,0.001354,2,984.5,554.846154,8,0,0
1143643192,1,3,3,3,0.510659,17,98,178.333333,1,0.69669,6,987,12.804468,1,0,0
1143680122,0,3,18,76,4.449497,7724,259,430.052632,1,1.473504,53,1026.5,1.068155,2,1,56.1334
1143712857,0,1,1,1,0,4,1,1083,1,0.378877,1,1065,3.639377,1050,0,0
1143725279,1,1,1,1,0,9,10,10,1,2.279352,1,1066,1.438721,12,0,0
1143725524,0,1,1,1,0,1,1,9,1,0.002836,2,1067,353.653061,13,0,0
1143731311,0,1,1,1,0,128,121,228,1,0.592465,1,1068,2.687863,1051,0,0
1143731413,0,1,1,1,0,6,6,1086,1,0.214769,2,1069,5.656176,1052,0,0
1143740479,1,1,1,1,0,5,1,2523,1,3.158021,1,1070,1.316654,1053,0,0
1143740526,0,1,1,1,0,1,0,254,1,0.69912,6,1071,2.430369,14,0,0
1144108833,0,1,1,1,0,3,1,643,1,7.421377,1,1072,1.134746,1054,0,0
1144108911,0,1,1,2,0.738285,20,4,2038,1,5.84327,3,1073.5,1.160038,1056,0,0
1144108994,0,1,2,2,0.886541,21,2,276.5,1,7.423241,2,1075.5,1.101034,1058,1,0.9381
1144109030,0,1,1,1,0,10,0,430,1,7.423657,1,1077,1.134704,1059,0,0
1144171182,0,1,1,1,0,1,1,619,1,8.143009,1,1078,1.122805,1060,0,0
1144190049,1,1,5,6,1.958948,265,38,1386.166667,1,5.477056,9,1081.5,1.07102,1066,0,0
