author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1447421978,0,8,492,1897,7.881375,704173,0,0,1,0,0,948,0,8,0,0
1447424297,0,1,1,1,0,1,1,291,1,-0.051678,2,0,0,0,0,0
1447426118,0,4,5,5,1.122675,247,87,340.6,2,0.02875,3,2,12.626087,1,0,0
1447428762,1,1,1,2,0.522559,31,3,174.5,1,0.078519,2,0.5,3.683962,1,0,0
1447429012,0,1,1,1,0,220,100,2175,1,0.081412,1,1,13.283196,0,1,4.852662
1447429284,0,1,1,1,0,1,1,100,1,0.08456,1,2,12.825897,0,0,0
1447431786,1,1,1,1,0,1,1,291,1,0.086678,3,2,12.536921,2,0,0
1447432275,0,1,1,1,0,79,75,2295,1,0.037766,2,3,27.478701,1,1,4.852442
1447435042,0,1,1,2,0.811278,4,4,275.5,1,0.111944,3,0.5,2.733251,1,0,0
1447435518,0,1,2,2,0.080354,302,0,10,2,0.078356,1,2.5,7.381093,1,0,0
1447478329,0,1,1,1,0,3,2,190,1,0.652211,1,0,0,0,0,0
1447479744,1,1,1,1,0,4,5,291,1,0.555069,4,1,2.801576,1,0,0
1447520763,0,1,1,1,0,11,0,0,1,0,0,5,0,1,0,0
1447572639,0,2,4,8,0,3,3,3.25,2,1.307821,6,6.5,1.213858,6,0,0
1447600584,0,1,1,1,0,148,8,11,1,0.923854,1,6,2.082422,2,0,0
1447600652,0,1,1,1,0,4,4,24,1,2.067986,1,7,1.483562,0,0,0
1447601265,0,1,1,1,0,7,4,151,1,0.007882,2,8,127.872247,3,0,0
1447615676,1,2,2,2,0.935269,17,20,89,2,0.170341,5,9.5,5.465351,1,0,0
1447620264,0,1,1,1,0,20,56,146,2,0.053102,4,11,19.831735,5,0,0
1447621174,0,1,1,1,0,4,8,29,2,0.063634,3,12,16.714805,2,0,0
1447667322,0,1,1,2,0.749595,13,1,9,2,1.419815,1,4.5,0.676079,3,0,0
1447667368,0,1,1,1,0,1,1,13,1,2.840162,1,6,1.352093,4,0,0
1447667931,1,1,1,1,0,5,5,25,2,0.541169,4,13,2.847852,3,0,0
1447667982,1,1,1,1,0,1,1,18,1,2.847269,1,2,1.351214,0,0,0
1447669359,1,1,1,1,0,1,1,225,1,2.863206,1,3,1.349259,2,0,0
1447672037,1,2,7,14,2.380352,19,19,23.142857,3,0.983301,15,10.5,1.170097,11,0,0
1447672162,1,1,1,1,0,1,1,290,3,0.001447,6,18,692.2,5,0,0
1447675190,0,1,1,1,0,211,72,2299,1,2.811516,3,0,0,0,1,1.036076
1447680849,0,1,1,1,0,8,0,45,1,2.996192,1,0,0,0,0,0
1447681437,1,1,1,1,0,4,1,119,1,3.002998,1,19,1.333001,0,0,0
1447681993,1,1,1,1,0,9,3,110,2,0.714456,5,1,2.399666,0,0,0
1447683298,1,1,1,1,0,22,8,116,2,0.015104,6,14,67.206897,6,0,0
1447683560,0,1,1,1,0,6,5,130,2,0.003032,7,15,330.770992,7,0,0
1447685179,0,1,1,1,0,373,48,2438,1,0.115613,4,4,9.649514,2,1,0.920463
1447686625,1,1,1,2,0.439497,3,41,188,3,1.539618,10,11.5,4.14931,5,0,0
1447686922,0,1,1,1,0,2,2,131,2,0.038912,8,16,26.698989,8,0,0
1447687000,0,1,1,1,0,2,2,131,2,0.000903,9,17,1108.692308,9,0,0
1447689385,0,1,1,1,0,7,7,131,2,0.027604,10,18,37.226415,10,0,0
1447695883,0,1,1,1,0,3,3,131,2,0.075208,11,19,14.296399,11,0,0
