author_date_unix_timestamp,fix,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,contains_bug,days_to_first_fix
1401328059,0,1,1,3,1.188788,116,0,0,1,0,0,71,0,2,0,0
1401333234,0,1,1,1,0,4,1,33,1,0.059896,1,73,17.695652,3,0,0
1401333620,0,1,2,2,0.831474,18,1,18,1,0.002234,2,74.5,224.834197,5,0,0
1401335558,0,1,2,2,0.961237,13,0,44.5,1,0.054612,2,76.5,11.338494,7,0,0
1401336203,0,1,1,1,0,24,0,0,1,0,0,78,0,8,0,0
1401338943,0,1,1,1,0,46,0,0,1,0,0,79,0,9,0,0
1401339864,0,1,1,2,0.179256,37,0,19.5,1,0.036134,3,80.5,7.418642,11,0,0
1401339881,0,1,1,1,0,1626,0,0,1,0,0,82,0,12,0,0
1401342082,0,1,1,1,0,6,0,83,1,0.075509,2,83,14.243409,13,0,0
1401342112,0,1,1,1,0,0,8,8,1,0.16265,1,84,7.148153,14,0,0
1401342141,0,1,1,2,0.836641,13,2,64.5,1,0.013519,7,85.5,751.696541,16,0,0
1401342175,1,1,1,1,0,1,1,19,1,0.076586,2,87,14.057277,17,0,0
1401342195,0,1,1,1,0,297,2,1626,1,0.026782,1,88,38.337943,18,0,0
1401476517,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1401742065,0,1,1,1,0,9,2,46,1,4.665764,1,89,1.214327,19,0,0
1401742485,0,1,1,1,0,5,0,19,1,4.633218,3,90,1.215833,20,0,0
1401742555,0,1,1,2,0.591673,13,1,21,1,2.317211,5,91.5,0.607888,22,0,0
1401742945,0,1,1,2,0.863121,6,1,27,1,0.004514,7,93.5,167.153846,24,0,0
1401939587,0,1,1,1,0,4,4,53,1,2.286134,2,95,1.43742,25,0,0
1401941010,1,1,1,1,0,1,1,42,1,2.292419,7,96,1.43622,26,0,0
1402506176,1,1,1,1,0,1,1,42,1,6.541273,8,97,1.152875,27,0,0
1402506698,0,1,1,2,0.764205,8,1,29.5,1,4.422888,11,98.5,1.113087,29,0,0
1402682197,1,1,1,1,0,0,4,98,1,15.509907,4,100,1.064475,30,0,0
1402702866,0,1,1,1,0,17,0,53,1,8.834248,3,101,1.113196,31,0,0
1402704939,0,1,1,2,0.811278,7,1,33,1,2.294456,13,102.5,1.326875,33,0,0
1402705597,0,1,1,1,0,389,74,1921,1,15.780116,2,104,1.063371,34,0,0
1404158912,0,1,1,1,0,1,1,42,1,16.828391,11,105,1.059423,35,0,0
1415926500,0,1,1,1,0,1,1,42,1,136.198935,12,106,1.007342,36,0,0
1415926512,0,1,1,1,0,36,34,2236,1,153.01985,3,107,1.006535,37,0,0
1419100020,1,1,2,2,1,2,2,59,1,195.459248,9,108.5,1.00391,39,0,0
1419100702,0,1,1,1,0,1,1,2238,1,36.73831,4,110,1.02722,40,0,0
1419100719,0,1,1,2,0.764205,8,1,36,1,113.252309,17,111.5,1.004842,42,0,0
1422304610,1,1,3,4,1.600986,162,43,599.5,1,37.086166,30,114.5,1.014045,46,0,0
1422304663,0,1,1,1,0,1,1,42,1,0.000613,15,117,1631.188679,47,0,0
1422304681,1,1,1,1,0,1,1,42,1,0.000208,16,118,4801,48,0,0
1422304752,0,1,1,1,0,7,0,37,1,37.083715,5,119,1.026966,49,0,0
1441195941,0,1,1,2,0.998846,23,2,231,9,-84.86985,8,0.5,0.497054,1,0,0
1444260748,0,2,3,3,0.875881,72,9,744.666667,5,-40.261246,10,4,0.98234,4,0,0
1445527278,0,1,1,1,0,1,1,303,9,50.131215,8,2,1.019948,2,0,0
1445615335,0,1,1,1,0,2,2,120,32,-74.923796,5,287,0.986653,105,0,0
1445960646,0,1,1,1,0,26,25,640,4,-24.149167,2,3,0.958591,3,0,0
1445975292,0,2,8,12,3.219709,227,44,218.916667,21,-16.461942,26,20.5,0.575583,25,1,86.257118
1446124851,0,1,1,3,1.347046,76,16,97,2,-14.737677,2,5,0.644049,6,1,45.892396
1446132030,1,1,1,1,0,1,16,490,33,-82.261493,11,54,0.987844,49,0,0
1446141836,0,1,1,2,0.282905,14,47,409,33,-42.457801,17,55.5,0.988231,51,0,0
1446633244,0,1,1,1,0,1,2,166,1,-16.355729,2,7,0.938859,7,0,0
1446634971,0,1,1,1,0,10,10,641,4,7.804688,3,8,1.128128,8,0,0
1446751159,0,1,4,7,2.262232,43,4,102.857143,5,-18.132862,20,3,0.845519,6,1,42.67015
1446824284,1,1,1,1,0,1,1,152,1,-16.91272,3,0,0,0,0,0
